RadiomicsFeature,RadiomicsValue
mask_all__fla__follow_up_3__original_glrlm_LongRunEmphasis,1.276412626423991
mask_all__fla__follow_up_3__original_glrlm_LongRunHighGrayLevelEmphasis,7872.0991503960495
mask_all__fla__follow_up_3__original_glrlm_LongRunLowGrayLevelEmphasis,0.0015847834493744
mask_all__fla__follow_up_3__original_glrlm_LowGrayLevelRunEmphasis,0.0014169019974294
mask_all__fla__follow_up_3__original_glrlm_RunEntropy,6.569775706775015
mask_all__fla__follow_up_3__original_glrlm_RunLengthNonUniformity,1932.317467351684
mask_all__fla__follow_up_3__original_glrlm_RunLengthNonUniformityNormalized,0.9037852241460488
mask_all__fla__follow_up_3__original_glrlm_RunPercentage,0.935330752398586
mask_all__fla__follow_up_3__original_glrlm_RunVariance,0.132000599217805
mask_all__fla__follow_up_3__original_glrlm_ShortRunEmphasis,0.9604399079820074
mask_all__fla__follow_up_3__original_glrlm_ShortRunHighGrayLevelEmphasis,4893.75126053587
mask_all__fla__follow_up_3__original_glrlm_ShortRunLowGrayLevelEmphasis,0.0013777956140439
mask_all__fla__follow_up_3__original_glszm_GrayLevelNonUniformity,19.23652904128761
mask_all__fla__follow_up_3__original_glszm_GrayLevelNonUniformityNormalized,0.0134615318693405
mask_all__fla__follow_up_3__original_glszm_GrayLevelVariance,447.3119442753599
mask_all__fla__follow_up_3__original_glszm_HighGrayLevelZoneEmphasis,4628.757872638209
mask_all__fla__follow_up_3__original_glszm_LargeAreaEmphasis,21.016794961511547
mask_all__fla__follow_up_3__original_glszm_LargeAreaHighGrayLevelEmphasis,218207.077676697
mask_all__fla__follow_up_3__original_glszm_LargeAreaLowGrayLevelEmphasis,0.0058153015206356
mask_all__fla__follow_up_3__original_glszm_LowGrayLevelZoneEmphasis,0.0012552641958698
mask_all__fla__follow_up_3__original_glszm_SizeZoneNonUniformity,783.2043386983905
mask_all__fla__follow_up_3__original_glszm_SizeZoneNonUniformityNormalized,0.5480786135048219
mask_all__fla__follow_up_3__original_glszm_SmallAreaEmphasis,0.7684728671638912
mask_all__fla__follow_up_3__original_glszm_SmallAreaHighGrayLevelEmphasis,3401.941689754164
mask_all__fla__follow_up_3__original_glszm_SmallAreaLowGrayLevelEmphasis,0.0005877329528753
mask_all__fla__follow_up_3__original_glszm_ZoneEntropy,7.425168968706662
mask_all__fla__follow_up_3__original_glszm_ZonePercentage,0.6253829321663019
mask_all__fla__follow_up_3__original_glszm_ZoneVariance,18.459929061169685
mask_all__fla__follow_up_3__original_gldm_DependenceEntropy,7.903392112610238
mask_all__fla__follow_up_3__original_gldm_DependenceNonUniformity,728.200875273523
mask_all__fla__follow_up_3__original_gldm_DependenceNonUniformityNormalized,0.3186874727674061
mask_all__fla__follow_up_3__original_gldm_DependenceVariance,13.839850992822566
mask_all__fla__follow_up_3__original_gldm_GrayLevelNonUniformity,37.16542669584245
mask_all__fla__follow_up_3__original_gldm_GrayLevelVariance,539.1913384311154
mask_all__fla__follow_up_3__original_gldm_HighGrayLevelEmphasis,5479.835448577681
mask_all__fla__follow_up_3__original_gldm_LargeDependenceEmphasis,21.029759299781183
mask_all__fla__follow_up_3__original_gldm_LargeDependenceHighGrayLevelEmphasis,217365.141356674
mask_all__fla__follow_up_3__original_gldm_LargeDependenceLowGrayLevelEmphasis,0.0066152364833859
mask_all__fla__follow_up_3__original_gldm_LowGrayLevelEmphasis,0.0013750606091993
mask_all__fla__follow_up_3__original_gldm_SmallDependenceEmphasis,0.542744029384532
mask_all__fla__follow_up_3__original_gldm_SmallDependenceHighGrayLevelEmphasis,2477.0604683655674
mask_all__fla__follow_up_3__original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0005100357234061
mask_all__fla__follow_up_3__original_ngtdm_Busyness,0.0258775811796221
mask_all__fla__follow_up_3__original_ngtdm_Coarseness,0.005884025495895
mask_all__fla__follow_up_3__original_ngtdm_Complexity,21166.31293507641
mask_all__fla__follow_up_3__original_ngtdm_Contrast,0.5685339285785217
mask_all__fla__follow_up_3__original_ngtdm_Strength,26.752921681411436
mask_tumor__fla__follow_up_3__original_shape_Elongation,0.6404371016161745
mask_tumor__fla__follow_up_3__original_shape_Flatness,0.4585638030499313
mask_tumor__fla__follow_up_3__original_shape_LeastAxisLength,6.227970347214892
mask_tumor__fla__follow_up_3__original_shape_MajorAxisLength,13.581469592218887
mask_tumor__fla__follow_up_3__original_shape_Maximum2DDiameterColumn,11.180339887498947
mask_tumor__fla__follow_up_3__original_shape_Maximum2DDiameterRow,14.422205101855956
mask_tumor__fla__follow_up_3__original_shape_Maximum2DDiameterSlice,10.198039027185567
mask_tumor__fla__follow_up_3__original_shape_Maximum3DDiameter,15.132745950421556
mask_tumor__fla__follow_up_3__original_shape_MeshVolume,287.0833333333333
mask_tumor__fla__follow_up_3__original_shape_MinorAxisLength,8.698077021328873
mask_tumor__fla__follow_up_3__original_shape_Sphericity,0.513543165782509
mask_tumor__fla__follow_up_3__original_shape_SurfaceArea,409.8067969948726
mask_tumor__fla__follow_up_3__original_shape_SurfaceVolumeRatio,1.427483763117118
mask_tumor__fla__follow_up_3__original_shape_VoxelVolume,296.0
mask_tumor__fla__follow_up_3__original_firstorder_10Percentile,596.7682191567033
mask_tumor__fla__follow_up_3__original_firstorder_90Percentile,776.3123648235091
mask_tumor__fla__follow_up_3__original_firstorder_Energy,140263860.28132665
mask_tumor__fla__follow_up_3__original_firstorder_Entropy,5.656242532376416
mask_tumor__fla__follow_up_3__original_firstorder_InterquartileRange,98.47462751220178
mask_tumor__fla__follow_up_3__original_firstorder_Kurtosis,2.80318904140775
mask_tumor__fla__follow_up_3__original_firstorder_MeanAbsoluteDeviation,57.36217300855458
mask_tumor__fla__follow_up_3__original_firstorder_Mean,684.7398775486479
mask_tumor__fla__follow_up_3__original_firstorder_Median,682.122221535601
mask_tumor__fla__follow_up_3__original_firstorder_Range,388.0336194339908
mask_tumor__fla__follow_up_3__original_firstorder_RobustMeanAbsoluteDeviation,41.15880084607351
mask_tumor__fla__follow_up_3__original_firstorder_RootMeanSquared,688.3780885838246
mask_tumor__fla__follow_up_3__original_firstorder_Skewness,0.0479480201079735
mask_tumor__fla__follow_up_3__original_firstorder_TotalEnergy,140263860.28132665
mask_tumor__fla__follow_up_3__original_firstorder_Uniformity,0.022758400292184
mask_tumor__fla__follow_up_3__original_firstorder_Variance,4995.692936982506
mask_tumor__fla__follow_up_3__original_glcm_Autocorrelation,1667.7016254974674
mask_tumor__fla__follow_up_3__original_glcm_ClusterProminence,850904.3216811249
mask_tumor__fla__follow_up_3__original_glcm_ClusterShade,1723.0092294106812
mask_tumor__fla__follow_up_3__original_glcm_ClusterTendency,580.4786609449345
mask_tumor__fla__follow_up_3__original_glcm_Contrast,144.6283627587099
mask_tumor__fla__follow_up_3__original_glcm_Correlation,0.5995450030452495
mask_tumor__fla__follow_up_3__original_glcm_DifferenceAverage,9.134523707409638
mask_tumor__fla__follow_up_3__original_glcm_DifferenceEntropy,4.392545417367986
mask_tumor__fla__follow_up_3__original_glcm_DifferenceVariance,57.15774986197859
mask_tumor__fla__follow_up_3__original_glcm_Id,0.194039544009842
mask_tumor__fla__follow_up_3__original_glcm_Idm,0.1099608083852726
mask_tumor__fla__follow_up_3__original_glcm_Idmn,0.9787479542795298
mask_tumor__fla__follow_up_3__original_glcm_Idn,0.9027142700578245
mask_tumor__fla__follow_up_3__original_glcm_Imc1,-0.5344591225782993
mask_tumor__fla__follow_up_3__original_glcm_Imc2,0.9985862862937676
mask_tumor__fla__follow_up_3__original_glcm_InverseVariance,0.1188734295613492
mask_tumor__fla__follow_up_3__original_glcm_JointAverage,39.46797612149441
mask_tumor__fla__follow_up_3__original_glcm_JointEnergy,0.0039298765281548
mask_tumor__fla__follow_up_3__original_glcm_JointEntropy,8.094203501951066
mask_tumor__fla__follow_up_3__original_glcm_MCC,0.8757393096702287
mask_tumor__fla__follow_up_3__original_glcm_MaximumProbability,0.0103073791757208
mask_tumor__fla__follow_up_3__original_glcm_SumAverage,78.93595224298882
mask_tumor__fla__follow_up_3__original_glcm_SumEntropy,6.033445243017885
mask_tumor__fla__follow_up_3__original_glcm_SumSquares,181.27675592591115
mask_tumor__fla__follow_up_3__original_glrlm_GrayLevelNonUniformity,6.611285840096763
mask_tumor__fla__follow_up_3__original_glrlm_GrayLevelNonUniformityNormalized,0.0227857413922084
mask_tumor__fla__follow_up_3__original_glrlm_GrayLevelVariance,198.95845191100244
mask_tumor__fla__follow_up_3__original_glrlm_HighGrayLevelRunEmphasis,1671.2019089840242
mask_tumor__fla__follow_up_3__original_glrlm_LongRunEmphasis,1.0618342621846877
mask_tumor__fla__follow_up_3__original_glrlm_LongRunHighGrayLevelEmphasis,1789.74222177429
mask_tumor__fla__follow_up_3__original_glrlm_LongRunLowGrayLevelEmphasis,0.0056030256495801
mask_tumor__fla__follow_up_3__original_glrlm_LowGrayLevelRunEmphasis,0.0054533729794414
mask_tumor__fla__follow_up_3__original_glrlm_RunEntropy,5.72422972471134
mask_tumor__fla__follow_up_3__original_glrlm_RunLengthNonUniformity,279.0375357528402
mask_tumor__fla__follow_up_3__original_glrlm_RunLengthNonUniformityNormalized,0.9615024037093804
mask_tumor__fla__follow_up_3__original_glrlm_RunPercentage,0.98024948024948
mask_tumor__fla__follow_up_3__original_glrlm_RunVariance,0.0208117859912454
mask_tumor__fla__follow_up_3__original_glrlm_ShortRunEmphasis,0.9851391273592132
mask_tumor__fla__follow_up_3__original_glrlm_ShortRunHighGrayLevelEmphasis,1642.6346091619282
mask_tumor__fla__follow_up_3__original_glrlm_ShortRunLowGrayLevelEmphasis,0.005416974158558
mask_tumor__fla__follow_up_3__original_glszm_GrayLevelNonUniformity,5.135135135135135
mask_tumor__fla__follow_up_3__original_glszm_GrayLevelNonUniformityNormalized,0.0231312393474555
mask_tumor__fla__follow_up_3__original_glszm_GrayLevelVariance,190.9731555880205
mask_tumor__fla__follow_up_3__original_glszm_HighGrayLevelZoneEmphasis,1603.3108108108108
mask_tumor__fla__follow_up_3__original_glszm_LargeAreaEmphasis,2.2612612612612613
mask_tumor__fla__follow_up_3__original_glszm_LargeAreaHighGrayLevelEmphasis,4233.1621621621625
mask_tumor__fla__follow_up_3__original_glszm_LargeAreaLowGrayLevelEmphasis,0.0089631897598593
mask_tumor__fla__follow_up_3__original_glszm_LowGrayLevelZoneEmphasis,0.0063689286289962
mask_tumor__fla__follow_up_3__original_glszm_SizeZoneNonUniformity,133.4954954954955
mask_tumor__fla__follow_up_3__original_glszm_SizeZoneNonUniformityNormalized,0.6013310607905202
mask_tumor__fla__follow_up_3__original_glszm_SmallAreaEmphasis,0.8027952952952953
mask_tumor__fla__follow_up_3__original_glszm_SmallAreaHighGrayLevelEmphasis,1268.8820495495495
mask_tumor__fla__follow_up_3__original_glszm_SmallAreaLowGrayLevelEmphasis,0.0057825612410249
mask_tumor__fla__follow_up_3__original_glszm_ZoneEntropy,6.248465123720504
mask_tumor__fla__follow_up_3__original_glszm_ZonePercentage,0.75
mask_tumor__fla__follow_up_3__original_glszm_ZoneVariance,0.4834834834834834
mask_tumor__fla__follow_up_3__original_gldm_DependenceEntropy,6.471327428538007
mask_tumor__fla__follow_up_3__original_gldm_DependenceNonUniformity,134.13513513513513
mask_tumor__fla__follow_up_3__original_gldm_DependenceNonUniformityNormalized,0.4531592403214025
mask_tumor__fla__follow_up_3__original_gldm_DependenceVariance,0.3984660336011687
mask_tumor__fla__follow_up_3__original_gldm_GrayLevelNonUniformity,6.736486486486487
mask_tumor__fla__follow_up_3__original_gldm_GrayLevelVariance,199.5958272461651
mask_tumor__fla__follow_up_3__original_gldm_HighGrayLevelEmphasis,1676.1283783783783
mask_tumor__fla__follow_up_3__original_gldm_LargeDependenceEmphasis,2.689189189189189
mask_tumor__fla__follow_up_3__original_gldm_LargeDependenceHighGrayLevelEmphasis,5032.385135135135
mask_tumor__fla__follow_up_3__original_gldm_LargeDependenceLowGrayLevelEmphasis,0.0092038116202881
mask_tumor__fla__follow_up_3__original_gldm_LowGrayLevelEmphasis,0.0053934167766499
mask_tumor__fla__follow_up_3__original_gldm_SmallDependenceEmphasis,0.6602852852852853
mask_tumor__fla__follow_up_3__original_gldm_SmallDependenceHighGrayLevelEmphasis,1056.9553303303303
mask_tumor__fla__follow_up_3__original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0044892635066016
mask_tumor__fla__follow_up_3__original_ngtdm_Busyness,0.0162370789870205
mask_tumor__fla__follow_up_3__original_ngtdm_Coarseness,0.0301131188817107
mask_tumor__fla__follow_up_3__original_ngtdm_Complexity,8671.250136584267
mask_tumor__fla__follow_up_3__original_ngtdm_Contrast,0.583078617568514
mask_tumor__fla__follow_up_3__original_ngtdm_Strength,43.191935327976935
mask_oedema__fla__follow_up_3__original_shape_Elongation,0.5742225510206695
mask_oedema__fla__follow_up_3__original_shape_Flatness,0.4363913342021835
mask_oedema__fla__follow_up_3__original_shape_LeastAxisLength,11.07232443057976
mask_oedema__fla__follow_up_3__original_shape_MajorAxisLength,25.37246632273836
mask_oedema__fla__follow_up_3__original_shape_Maximum2DDiameterColumn,19.1049731745428
mask_oedema__fla__follow_up_3__original_shape_Maximum2DDiameterRow,26.1725046566048
mask_oedema__fla__follow_up_3__original_shape_Maximum2DDiameterSlice,30.886890422961
mask_oedema__fla__follow_up_3__original_shape_Maximum3DDiameter,31.44837038703277
mask_oedema__fla__follow_up_3__original_shape_MeshVolume,1920.8333333333333
mask_oedema__fla__follow_up_3__original_shape_MinorAxisLength,14.569442337528848
mask_oedema__fla__follow_up_3__original_shape_Sphericity,0.5741788031679445
mask_oedema__fla__follow_up_3__original_shape_SurfaceArea,1301.4578019126914
mask_oedema__fla__follow_up_3__original_shape_SurfaceVolumeRatio,0.6775485302799261
mask_oedema__fla__follow_up_3__original_shape_VoxelVolume,1947.0
mask_oedema__fla__follow_up_3__original_firstorder_10Percentile,741.1044195447749
mask_oedema__fla__follow_up_3__original_firstorder_90Percentile,1012.8455380163106
mask_oedema__fla__follow_up_3__original_firstorder_Energy,1499059573.8233676
mask_oedema__fla__follow_up_3__original_firstorder_Entropy,6.00795523225144
mask_oedema__fla__follow_up_3__original_firstorder_InterquartileRange,153.88452423864692
mask_oedema__fla__follow_up_3__original_firstorder_Kurtosis,2.138576741943956
mask_oedema__fla__follow_up_3__original_firstorder_MeanAbsoluteDeviation,82.85182718934249
mask_oedema__fla__follow_up_3__original_firstorder_Mean,871.9459143686958
mask_oedema__fla__follow_up_3__original_firstorder_Median,866.9747095969533
